% Mode = SPO2
% Sample Rate (Hz) = 100 Sample Average = 1 Pulse Width (us) = 411 ADC Full Scale Range (nA) = 8192
%  LED Red (mA) = 10.15625 LED IR (mA) = 10.15625 LED Green (mA) = 10.15625
% LED Slot 1 = 1 LED Slot 2 = 2 LED Slot 3 = 3 LED Slot 4 = 0
Time (s), Red, IR (Infrared), Green
0,57388,57366,
0.01,73691,73674,
0.02,86249,90110,
0.03,85854,95558,
0.04,85865,95588,
0.05,85877,95635,
0.06,85886,95665,
0.07,85894,95702,
0.08,85914,95729,
0.09,85934,95766,
0.1,85937,95794,
0.11,85946,95812,
0.12,85951,95827,
0.13,85971,95850,
0.14,85961,95844,
0.15,85961,95843,
0.16,85953,95849,
0.17,85953,95842,
0.18,85972,95876,
0.19,85987,95912,
0.2,85993,95941,
0.21,86021,95994,
0.22,86033,96037,
0.23,86054,96080,
0.24,86067,96111,
0.25,86084,96157,
0.26,86086,96185,
0.27,86107,96204,
0.28,86126,96240,
0.29,86131,96268,
0.3,86142,96301,
0.31,86154,96320,
0.32,86161,96336,
0.33,86181,96376,
0.34,86192,96408,
0.35,86217,96446,
0.36,86228,96485,
0.37,86248,96521,
0.38,86255,96548,
0.39,86268,96575,
0.4,86268,96575,
0.41,86274,96591,
0.42,86281,96611,
0.43,86285,96627,
0.44,86294,96652,
0.45,86310,96677,
0.46,86321,96694,
0.47,86322,96734,
0.48,86345,96762,
0.49,86366,96783,
0.5,86367,96814,
0.51,86379,96831,
0.52,86395,96862,
0.53,86401,96895,
0.54,86414,96933,
0.55,86437,96965,
0.56,86443,96996,
0.57,86448,97002,
0.58,86463,96984,
0.59,86432,96915,
0.6,86404,96827,
0.61,86350,96700,
0.62,86291,96565,
0.63,86229,96386,
0.64,86160,96221,
0.65,86098,96050,
0.66,86032,95905,
0.67,85988,95797,
0.68,85950,95709,
0.69,85942,95661,
0.7,85918,95618,
0.71,85908,95593,
0.72,85900,95593,
0.73,85894,95570,
0.74,85885,95579,
0.75,85891,95565,
0.76,85893,95564,
0.77,85893,95559,
0.78,85885,95559,
0.79,85888,95551,
0.8,85885,95557,
0.81,85889,95557,
0.82,85888,95564,
0.83,85890,95579,
0.84,85898,95594,
0.85,85905,95615,
0.86,85921,95649,
0.87,85940,95687,
0.88,85952,95721,
0.89,85972,95738,
0.9,85977,95747,
0.91,85986,95783,
0.92,85987,95796,
0.93,85999,95803,
0.94,86005,95823,
0.95,86018,95838,
0.96,86013,95837,
0.97,86023,95862,
0.98,86041,95875,
0.99,86053,95934,
1,86078,95971,
1.01,86096,96020,
1.02,86124,96062,
1.03,86134,96110,
1.04,86158,96154,
1.05,86176,96204,
1.06,86203,96259,
1.07,86219,96287,
1.08,86237,96348,
1.09,86261,96389,
1.1,86259,96412,
1.11,86286,96458,
1.12,86296,96481,
1.13,86312,96505,
1.14,86315,96544,
1.15,86327,96568,
1.16,86334,96587,
1.17,86342,96600,
1.18,86347,96633,
1.19,86372,96666,
1.2,86389,96702,
1.21,86402,96750,
1.22,86420,96781,
1.23,86444,96827,
1.24,86455,96859,
1.25,86459,96890,
1.26,86469,96904,
1.27,86485,96942,
1.28,86500,96967,
1.29,86506,96987,
1.3,86512,97016,
1.31,86528,97046,
1.32,86551,97086,
1.33,86556,97126,
1.34,86578,97156,
1.35,86599,97205,
1.36,86612,97240,
1.37,86627,97287,
1.38,86640,97313,
1.39,86653,97339,
1.4,86653,97343,
1.41,86641,97287,
1.42,86604,97191,
1.43,86562,97074,
1.44,86515,96933,
1.45,86455,96792,
1.46,86397,96627,
1.47,86327,96456,
1.48,86263,96282,
1.49,86196,96126,
1.5,86130,95979,
1.51,86091,95881,
1.52,86059,95826,
1.53,86053,95782,
1.54,86048,95770,
1.55,86051,95768,
1.56,86052,95787,
1.57,86076,95800,
1.58,86074,95823,
1.59,86080,95830,
1.6,86100,95847,
1.61,86101,95872,
1.62,86104,95870,
1.63,86096,95889,
1.64,86121,95915,
1.65,86132,95949,
1.66,86137,95977,
1.67,86151,95999,
1.68,86170,96037,
1.69,86180,96076,
1.7,86207,96101,
1.71,86224,96138,
1.72,86227,96148,
1.73,86233,96173,
1.74,86235,96179,
1.75,86231,96183,
1.76,86240,96196,
1.77,86241,96214,
1.78,86254,96223,
1.79,86271,96239,
1.8,86266,96269,
1.81,86285,96286,
1.82,86298,96322,
1.83,86305,96350,
1.84,86326,96403,
1.85,86350,96440,
1.86,86372,96489,
1.87,86402,96548,
1.88,86412,96594,
1.89,86425,96637,
1.9,86448,96679,
1.91,86453,96703,
1.92,86474,96742,
1.93,86486,96779,
1.94,86497,96798,
1.95,86510,96835,
1.96,86515,96856,
1.97,86530,96884,
1.98,86540,96903,
1.99,86556,96952,
2,86569,96984,
2.01,86589,97025,
2.02,86614,97059,
2.03,86634,97091,
2.04,86638,97130,
2.05,86661,97157,
2.06,86666,97187,
2.07,86682,97216,
2.08,86692,97248,
2.09,86701,97286,
2.1,86737,97307,
2.11,86728,97339,
2.12,86754,97364,
2.13,86749,97412,
2.14,86764,97439,
2.15,86784,97459,
2.16,86790,97500,
2.17,86802,97520,
2.18,86806,97549,
2.19,86828,97586,
2.2,86846,97630,
2.21,86853,97670,
2.22,86884,97710,
2.23,86895,97742,
2.24,86903,97769,
2.25,86898,97766,
2.26,86888,97712,
2.27,86855,97632,
2.28,86822,97531,
2.29,86771,97405,
2.3,86731,97272,
2.31,86668,97127,
2.32,86621,96991,
2.33,86564,96849,
2.34,86514,96720,
2.35,86456,96608,
2.36,86430,96499,
2.37,86396,96439,
2.38,86377,96389,
2.39,86361,96350,
2.4,86357,96336,
2.41,86351,96329,
2.42,86345,96334,
2.43,86363,96353,
2.44,86371,96376,
2.45,86377,96398,
2.46,86384,96420,
2.47,86396,96427,
2.48,86389,96443,
2.49,86402,96461,
2.5,86415,96496,
2.51,86413,96506,
2.52,86420,96517,
2.53,86426,96549,
2.54,86442,96575,
2.55,86457,96595,
2.56,86472,96611,
2.57,86471,96627,
2.58,86480,96628,
2.59,86480,96639,
2.6,86475,96639,
2.61,86482,96638,
2.62,86467,96648,
2.63,86495,96657,
2.64,86498,96685,
2.65,86507,96716,
2.66,86518,96753,
2.67,86543,96771,
2.68,86549,96803,
2.69,86563,96838,
2.7,86582,96880,
2.71,86600,96923,
2.72,86618,96954,
2.73,86632,96988,
2.74,86637,97026,
2.75,86651,97063,
2.76,86666,97084,
2.77,86670,97106,
2.78,86684,97121,
2.79,86683,97144,
2.8,86689,97158,
2.81,86700,97183,
2.82,86707,97218,
2.83,86714,97240,
2.84,86734,97285,
2.85,86751,97312,
2.86,86770,97347,
2.87,86781,97374,
2.88,86785,97402,
2.89,86784,97424,
